id_solicitante,inadimplente
20001,0
20002,1
20003,0
20004,1
20005,0
20006,1
20007,0
20008,1
20009,0
20010,1
20011,0
20012,1
20013,0
20014,1
20015,0
20016,1
20017,0
20018,1
20019,0
20020,1
20021,0
20022,1
20023,0
20024,1
20025,0
20026,1
20027,0
20028,1
20029,0
20030,1
20031,0
20032,1
20033,0
20034,1
20035,0
20036,1
20037,0
20038,1
20039,0
20040,1
20041,0
20042,1
20043,0
20044,1
20045,0
20046,1
20047,0
20048,1
20049,0
20050,1
20051,0
20052,1
20053,0
20054,1
20055,0
20056,1
20057,0
20058,1
20059,0
20060,1
20061,0
20062,1
20063,0
20064,1
20065,0
20066,1
20067,0
20068,1
20069,0
20070,1
20071,0
20072,1
20073,0
20074,1
20075,0
20076,1
20077,0
20078,1
20079,0
20080,1
20081,0
20082,1
20083,0
20084,1
20085,0
20086,1
20087,0
20088,1
20089,0
20090,1
20091,0
20092,1
20093,0
20094,1
20095,0
20096,1
20097,0
20098,1
20099,0
20100,1
20101,0
20102,1
20103,0
20104,1
20105,0
20106,1
20107,0
20108,1
20109,0
20110,1
20111,0
20112,1
20113,0
20114,1
20115,0
20116,1
20117,0
20118,1
20119,0
20120,1
20121,0
20122,1
20123,0
20124,1
20125,0
20126,1
20127,0
20128,1
20129,0
20130,1
20131,0
20132,1
20133,0
20134,1
20135,0
20136,1
20137,0
20138,1
20139,0
20140,1
20141,0
20142,1
20143,0
20144,1
20145,0
20146,1
20147,0
20148,1
20149,0
20150,1
20151,0
20152,1
20153,0
20154,1
20155,0
20156,1
20157,0
20158,1
20159,0
20160,1
20161,0
20162,1
20163,0
20164,1
20165,0
20166,1
20167,0
20168,1
20169,0
20170,1
20171,0
20172,1
20173,0
20174,1
20175,0
20176,1
20177,0
20178,1
20179,0
20180,1
20181,0
20182,1
20183,0
20184,1
20185,0
20186,1
20187,0
20188,1
20189,0
20190,1
20191,0
20192,1
20193,0
20194,1
20195,0
20196,1
20197,0
20198,1
20199,0
20200,1
20201,0
20202,1
20203,0
20204,1
20205,0
20206,1
20207,0
20208,1
20209,0
20210,1
20211,0
20212,1
20213,0
20214,1
20215,0
20216,1
20217,0
20218,1
20219,0
20220,1
20221,0
20222,1
20223,0
20224,1
20225,0
20226,1
20227,0
20228,1
20229,0
20230,1
20231,0
20232,1
20233,0
20234,1
20235,0
20236,1
20237,0
20238,1
20239,0
20240,1
20241,0
20242,1
20243,0
20244,1
20245,0
20246,1
20247,0
20248,1
20249,0
20250,1
20251,0
20252,1
20253,0
20254,1
20255,0
20256,1
20257,0
20258,1
20259,0
20260,1
20261,0
20262,1
20263,0
20264,1
20265,0
20266,1
20267,0
20268,1
20269,0
20270,1
20271,0
20272,1
20273,0
20274,1
20275,0
20276,1
20277,0
20278,1
20279,0
20280,1
20281,0
20282,1
20283,0
20284,1
20285,0
20286,1
20287,0
20288,1
20289,0
20290,1
20291,0
20292,1
20293,0
20294,1
20295,0
20296,1
20297,0
20298,1
20299,0
20300,1
20301,0
20302,1
20303,0
20304,1
20305,0
20306,1
20307,0
20308,1
20309,0
20310,1
20311,0
20312,1
20313,0
20314,1
20315,0
20316,1
20317,0
20318,1
20319,0
20320,1
20321,0
20322,1
20323,0
20324,1
20325,0
20326,1
20327,0
20328,1
20329,0
20330,1
20331,0
20332,1
20333,0
20334,1
20335,0
20336,1
20337,0
20338,1
20339,0
20340,1
20341,0
20342,1
20343,0
20344,1
20345,0
20346,1
20347,0
20348,1
20349,0
20350,1
20351,0
20352,1
20353,0
20354,1
20355,0
20356,1
20357,0
20358,1
20359,0
20360,1
20361,0
20362,1
20363,0
20364,1
20365,0
20366,1
20367,0
20368,1
20369,0
20370,1
20371,0
20372,1
20373,0
20374,1
20375,0
20376,1
20377,0
20378,1
20379,0
20380,1
20381,0
20382,1
20383,0
20384,1
20385,0
20386,1
20387,0
20388,1
20389,0
20390,1
20391,0
20392,1
20393,0
20394,1
20395,0
20396,1
20397,0
20398,1
20399,0
20400,1
20401,0
20402,1
20403,0
20404,1
20405,0
20406,1
20407,0
20408,1
20409,0
20410,1
20411,0
20412,1
20413,0
20414,1
20415,0
20416,1
20417,0
20418,1
20419,0
20420,1
20421,0
20422,1
20423,0
20424,1
20425,0
20426,1
20427,0
20428,1
20429,0
20430,1
20431,0
20432,1
20433,0
20434,1
20435,0
20436,1
20437,0
20438,1
20439,0
20440,1
20441,0
20442,1
20443,0
20444,1
20445,0
20446,1
20447,0
20448,1
20449,0
20450,1
20451,0
20452,1
20453,0
20454,1
20455,0
20456,1
20457,0
20458,1
20459,0
20460,1
20461,0
20462,1
20463,0
20464,1
20465,0
20466,1
20467,0
20468,1
20469,0
20470,1
20471,0
20472,1
20473,0
20474,1
20475,0
20476,1
20477,0
20478,1
20479,0
20480,1
20481,0
20482,1
20483,0
20484,1
20485,0
20486,1
20487,0
20488,1
20489,0
20490,1
20491,0
20492,1
20493,0
20494,1
20495,0
20496,1
20497,0
20498,1
20499,0
20500,1
20501,0
20502,1
20503,0
20504,1
20505,0
20506,1
20507,0
20508,1
20509,0
20510,1
20511,0
20512,1
20513,0
20514,1
20515,0
20516,1
20517,0
20518,1
20519,0
20520,1
20521,0
20522,1
20523,0
20524,1
20525,0
20526,1
20527,0
20528,1
20529,0
20530,1
20531,0
20532,1
20533,0
20534,1
20535,0
20536,1
20537,0
20538,1
20539,0
20540,1
20541,0
20542,1
20543,0
20544,1
20545,0
20546,1
20547,0
20548,1
20549,0
20550,1
20551,0
20552,1
20553,0
20554,1
20555,0
20556,1
20557,0
20558,1
20559,0
20560,1
20561,0
20562,1
20563,0
20564,1
20565,0
20566,1
20567,0
20568,1
20569,0
20570,1
20571,0
20572,1
20573,0
20574,1
20575,0
20576,1
20577,0
20578,1
20579,0
20580,1
20581,0
20582,1
20583,0
20584,1
20585,0
20586,1
20587,0
20588,1
20589,0
20590,1
20591,0
20592,1
20593,0
20594,1
20595,0
20596,1
20597,0
20598,1
20599,0
20600,1
20601,0
20602,1
20603,0
20604,1
20605,0
20606,1
20607,0
20608,1
20609,0
20610,1
20611,0
20612,1
20613,0
20614,1
20615,0
20616,1
20617,0
20618,1
20619,0
20620,1
20621,0
20622,1
20623,0
20624,1
20625,0
20626,1
20627,0
20628,1
20629,0
20630,1
20631,0
20632,1
20633,0
20634,1
20635,0
20636,1
20637,0
20638,1
20639,0
20640,1
20641,0
20642,1
20643,0
20644,1
20645,0
20646,1
20647,0
20648,1
20649,0
20650,1
20651,0
20652,1
20653,0
20654,1
20655,0
20656,1
20657,0
20658,1
20659,0
20660,1
20661,0
20662,1
20663,0
20664,1
20665,0
20666,1
20667,0
20668,1
20669,0
20670,1
20671,0
20672,1
20673,0
20674,1
20675,0
20676,1
20677,0
20678,1
20679,0
20680,1
20681,0
20682,1
20683,0
20684,1
20685,0
20686,1
20687,0
20688,1
20689,0
20690,1
20691,0
20692,1
20693,0
20694,1
20695,0
20696,1
20697,0
20698,1
20699,0
20700,1
20701,0
20702,1
20703,0
20704,1
20705,0
20706,1
20707,0
20708,1
20709,0
20710,1
20711,0
20712,1
20713,0
20714,1
20715,0
20716,1
20717,0
20718,1
20719,0
20720,1
20721,0
20722,1
20723,0
20724,1
20725,0
20726,1
20727,0
20728,1
20729,0
20730,1
20731,0
20732,1
20733,0
20734,1
20735,0
20736,1
20737,0
20738,1
20739,0
20740,1
20741,0
20742,1
20743,0
20744,1
20745,0
20746,1
20747,0
20748,1
20749,0
20750,1
20751,0
20752,1
20753,0
20754,1
20755,0
20756,1
20757,0
20758,1
20759,0
20760,1
20761,0
20762,1
20763,0
20764,1
20765,0
20766,1
20767,0
20768,1
20769,0
20770,1
20771,0
20772,1
20773,0
20774,1
20775,0
20776,1
20777,0
20778,1
20779,0
20780,1
20781,0
20782,1
20783,0
20784,1
20785,0
20786,1
20787,0
20788,1
20789,0
20790,1
20791,0
20792,1
20793,0
20794,1
20795,0
20796,1
20797,0
20798,1
20799,0
20800,1
20801,0
20802,1
20803,0
20804,1
20805,0
20806,1
20807,0
20808,1
20809,0
20810,1
20811,0
20812,1
20813,0
20814,1
20815,0
20816,1
20817,0
20818,1
20819,0
20820,1
20821,0
20822,1
20823,0
20824,1
20825,0
20826,1
20827,0
20828,1
20829,0
20830,1
20831,0
20832,1
20833,0
20834,1
20835,0
20836,1
20837,0
20838,1
20839,0
20840,1
20841,0
20842,1
20843,0
20844,1
20845,0
20846,1
20847,0
20848,1
20849,0
20850,1
20851,0
20852,1
20853,0
20854,1
20855,0
20856,1
20857,0
20858,1
20859,0
20860,1
20861,0
20862,1
20863,0
20864,1
20865,0
20866,1
20867,0
20868,1
20869,0
20870,1
20871,0
20872,1
20873,0
20874,1
20875,0
20876,1
20877,0
20878,1
20879,0
20880,1
20881,0
20882,1
20883,0
20884,1
20885,0
20886,1
20887,0
20888,1
20889,0
20890,1
20891,0
20892,1
20893,0
20894,1
20895,0
20896,1
20897,0
20898,1
20899,0
20900,1
20901,0
20902,1
20903,0
20904,1
20905,0
20906,1
20907,0
20908,1
20909,0
20910,1
20911,0
20912,1
20913,0
20914,1
20915,0
20916,1
20917,0
20918,1
20919,0
20920,1
20921,0
20922,1
20923,0
20924,1
20925,0
20926,1
20927,0
20928,1
20929,0
20930,1
20931,0
20932,1
20933,0
20934,1
20935,0
20936,1
20937,0
20938,1
20939,0
20940,1
20941,0
20942,1
20943,0
20944,1
20945,0
20946,1
20947,0
20948,1
20949,0
20950,1
20951,0
20952,1
20953,0
20954,1
20955,0
20956,1
20957,0
20958,1
20959,0
20960,1
20961,0
20962,1
20963,0
20964,1
20965,0
20966,1
20967,0
20968,1
20969,0
20970,1
20971,0
20972,1
20973,0
20974,1
20975,0
20976,1
20977,0
20978,1
20979,0
20980,1
20981,0
20982,1
20983,0
20984,1
20985,0
20986,1
20987,0
20988,1
20989,0
20990,1
20991,0
20992,1
20993,0
20994,1
20995,0
20996,1
20997,0
20998,1
20999,0
21000,1
21001,0
21002,1
21003,0
21004,1
21005,0
21006,1
21007,0
21008,1
21009,0
21010,1
21011,0
21012,1
21013,0
21014,1
21015,0
21016,1
21017,0
21018,1
21019,0
21020,1
21021,0
21022,1
21023,0
21024,1
21025,0
21026,1
21027,0
21028,1
21029,0
21030,1
21031,0
21032,1
21033,0
21034,1
21035,0
21036,1
21037,0
21038,1
21039,0
21040,1
21041,0
21042,1
21043,0
21044,1
21045,0
21046,1
21047,0
21048,1
21049,0
21050,1
21051,0
21052,1
21053,0
21054,1
21055,0
21056,1
21057,0
21058,1
21059,0
21060,1
21061,0
21062,1
21063,0
21064,1
21065,0
21066,1
21067,0
21068,1
21069,0
21070,1
21071,0
21072,1
21073,0
21074,1
21075,0
21076,1
21077,0
21078,1
21079,0
21080,1
21081,0
21082,1
21083,0
21084,1
21085,0
21086,1
21087,0
21088,1
21089,0
21090,1
21091,0
21092,1
21093,0
21094,1
21095,0
21096,1
21097,0
21098,1
21099,0
21100,1
21101,0
21102,1
21103,0
21104,1
21105,0
21106,1
21107,0
21108,1
21109,0
21110,1
21111,0
21112,1
21113,0
21114,1
21115,0
21116,1
21117,0
21118,1
21119,0
21120,1
21121,0
21122,1
21123,0
21124,1
21125,0
21126,1
21127,0
21128,1
21129,0
21130,1
21131,0
21132,1
21133,0
21134,1
21135,0
21136,1
21137,0
21138,1
21139,0
21140,1
21141,0
21142,1
21143,0
21144,1
21145,0
21146,1
21147,0
21148,1
21149,0
21150,1
21151,0
21152,1
21153,0
21154,1
21155,0
21156,1
21157,0
21158,1
21159,0
21160,1
21161,0
21162,1
21163,0
21164,1
21165,0
21166,1
21167,0
21168,1
21169,0
21170,1
21171,0
21172,1
21173,0
21174,1
21175,0
21176,1
21177,0
21178,1
21179,0
21180,1
21181,0
21182,1
21183,0
21184,1
21185,0
21186,1
21187,0
21188,1
21189,0
21190,1
21191,0
21192,1
21193,0
21194,1
21195,0
21196,1
21197,0
21198,1
21199,0
21200,1
21201,0
21202,1
21203,0
21204,1
21205,0
21206,1
21207,0
21208,1
21209,0
21210,1
21211,0
21212,1
21213,0
21214,1
21215,0
21216,1
21217,0
21218,1
21219,0
21220,1
21221,0
21222,1
21223,0
21224,1
21225,0
21226,1
21227,0
21228,1
21229,0
21230,1
21231,0
21232,1
21233,0
21234,1
21235,0
21236,1
21237,0
21238,1
21239,0
21240,1
21241,0
21242,1
21243,0
21244,1
21245,0
21246,1
21247,0
21248,1
21249,0
21250,1
21251,0
21252,1
21253,0
21254,1
21255,0
21256,1
21257,0
21258,1
21259,0
21260,1
21261,0
21262,1
21263,0
21264,1
21265,0
21266,1
21267,0
21268,1
21269,0
21270,1
21271,0
21272,1
21273,0
21274,1
21275,0
21276,1
21277,0
21278,1
21279,0
21280,1
21281,0
21282,1
21283,0
21284,1
21285,0
21286,1
21287,0
21288,1
21289,0
21290,1
21291,0
21292,1
21293,0
21294,1
21295,0
21296,1
21297,0
21298,1
21299,0
21300,1
21301,0
21302,1
21303,0
21304,1
21305,0
21306,1
21307,0
21308,1
21309,0
21310,1
21311,0
21312,1
21313,0
21314,1
21315,0
21316,1
21317,0
21318,1
21319,0
21320,1
21321,0
21322,1
21323,0
21324,1
21325,0
21326,1
21327,0
21328,1
21329,0
21330,1
21331,0
21332,1
21333,0
21334,1
21335,0
21336,1
21337,0
21338,1
21339,0
21340,1
21341,0
21342,1
21343,0
21344,1
21345,0
21346,1
21347,0
21348,1
21349,0
21350,1
21351,0
21352,1
21353,0
21354,1
21355,0
21356,1
21357,0
21358,1
21359,0
21360,1
21361,0
21362,1
21363,0
21364,1
21365,0
21366,1
21367,0
21368,1
21369,0
21370,1
21371,0
21372,1
21373,0
21374,1
21375,0
21376,1
21377,0
21378,1
21379,0
21380,1
21381,0
21382,1
21383,0
21384,1
21385,0
21386,1
21387,0
21388,1
21389,0
21390,1
21391,0
21392,1
21393,0
21394,1
21395,0
21396,1
21397,0
21398,1
21399,0
21400,1
21401,0
21402,1
21403,0
21404,1
21405,0
21406,1
21407,0
21408,1
21409,0
21410,1
21411,0
21412,1
21413,0
21414,1
21415,0
21416,1
21417,0
21418,1
21419,0
21420,1
21421,0
21422,1
21423,0
21424,1
21425,0
21426,1
21427,0
21428,1
21429,0
21430,1
21431,0
21432,1
21433,0
21434,1
21435,0
21436,1
21437,0
21438,1
21439,0
21440,1
21441,0
21442,1
21443,0
21444,1
21445,0
21446,1
21447,0
21448,1
21449,0
21450,1
21451,0
21452,1
21453,0
21454,1
21455,0
21456,1
21457,0
21458,1
21459,0
21460,1
21461,0
21462,1
21463,0
21464,1
21465,0
21466,1
21467,0
21468,1
21469,0
21470,1
21471,0
21472,1
21473,0
21474,1
21475,0
21476,1
21477,0
