id_solicitante,inadimplente
20001,1
20002,0
20003,0
20004,0
20005,0
20006,1
20007,0
20008,0
20009,0
20010,1
20011,0
20012,0
20013,1
20014,1
20015,0
20016,1
20017,0
20018,0
20019,0
20020,0
20021,0
20022,1
20023,1
20024,1
20025,1
20026,0
20027,1
20028,1
20029,0
20030,0
20031,0
20032,1
20033,1
20034,0
20035,0
20036,1
20037,0
20038,0
20039,1
20040,1
20041,0
20042,0
20043,0
20044,0
20045,1
20046,0
20047,1
20048,1
20049,1
20050,0
20051,1
20052,1
20053,0
20054,0
20055,0
20056,0
20057,1
20058,1
20059,1
20060,0
20061,0
20062,0
20063,0
20064,0
20065,0
20066,0
20067,1
20068,0
20069,0
20070,0
20071,0
20072,0
20073,0
20074,0
20075,1
20076,0
20077,1
20078,1
20079,0
20080,0
20081,1
20082,0
20083,1
20084,1
20085,0
20086,0
20087,0
20088,1
20089,0
20090,0
20091,0
20092,1
20093,0
20094,0
20095,1
20096,0
20097,0
20098,0
20099,1
20100,0
20101,0
20102,1
20103,1
20104,1
20105,0
20106,0
20107,0
20108,0
20109,1
20110,0
20111,1
20112,0
20113,1
20114,0
20115,1
20116,0
20117,1
20118,1
20119,1
20120,0
20121,1
20122,1
20123,0
20124,1
20125,0
20126,1
20127,0
20128,0
20129,1
20130,0
20131,1
20132,0
20133,0
20134,1
20135,1
20136,0
20137,1
20138,1
20139,0
20140,1
20141,1
20142,1
20143,0
20144,1
20145,1
20146,0
20147,0
20148,0
20149,1
20150,1
20151,1
20152,0
20153,1
20154,1
20155,0
20156,1
20157,0
20158,0
20159,1
20160,0
20161,0
20162,0
20163,0
20164,1
20165,1
20166,0
20167,0
20168,1
20169,0
20170,1
20171,0
20172,1
20173,0
20174,1
20175,1
20176,1
20177,1
20178,1
20179,1
20180,1
20181,1
20182,1
20183,1
20184,0
20185,1
20186,1
20187,1
20188,0
20189,1
20190,0
20191,0
20192,0
20193,0
20194,0
20195,1
20196,1
20197,0
20198,0
20199,0
20200,1
20201,0
20202,0
20203,0
20204,1
20205,1
20206,0
20207,0
20208,1
20209,0
20210,1
20211,0
20212,0
20213,0
20214,1
20215,0
20216,1
20217,0
20218,1
20219,1
20220,0
20221,0
20222,1
20223,1
20224,0
20225,0
20226,0
20227,1
20228,0
20229,1
20230,1
20231,1
20232,1
20233,0
20234,0
20235,0
20236,1
20237,0
20238,1
20239,1
20240,0
20241,0
20242,0
20243,0
20244,1
20245,0
20246,1
20247,0
20248,1
20249,0
20250,0
20251,1
20252,1
20253,0
20254,0
20255,0
20256,0
20257,0
20258,1
20259,1
20260,1
20261,0
20262,1
20263,0
20264,0
20265,0
20266,1
20267,1
20268,1
20269,0
20270,1
20271,1
20272,0
20273,1
20274,0
20275,0
20276,1
20277,0
20278,0
20279,0
20280,0
20281,1
20282,0
20283,0
20284,1
20285,1
20286,1
20287,1
20288,0
20289,1
20290,1
20291,0
20292,0
20293,1
20294,0
20295,1
20296,0
20297,0
20298,0
20299,1
20300,0
20301,0
20302,0
20303,0
20304,1
20305,0
20306,1
20307,0
20308,1
20309,1
20310,1
20311,0
20312,0
20313,1
20314,0
20315,0
20316,1
20317,1
20318,1
20319,0
20320,1
20321,0
20322,0
20323,0
20324,1
20325,0
20326,1
20327,0
20328,1
20329,1
20330,0
20331,0
20332,1
20333,0
20334,1
20335,1
20336,0
20337,0
20338,0
20339,1
20340,1
20341,1
20342,0
20343,1
20344,1
20345,1
20346,0
20347,0
20348,0
20349,1
20350,1
20351,1
20352,0
20353,0
20354,0
20355,1
20356,0
20357,1
20358,0
20359,1
20360,1
20361,1
20362,0
20363,1
20364,0
20365,1
20366,1
20367,1
20368,0
20369,0
20370,1
20371,0
20372,0
20373,0
20374,1
20375,1
20376,0
20377,1
20378,0
20379,0
20380,1
20381,0
20382,1
20383,0
20384,1
20385,0
20386,0
20387,0
20388,1
20389,1
20390,0
20391,0
20392,0
20393,0
20394,0
20395,1
20396,1
20397,0
20398,0
20399,1
20400,1
20401,1
20402,0
20403,1
20404,1
20405,1
20406,0
20407,1
20408,0
20409,1
20410,0
20411,1
20412,0
20413,0
20414,1
20415,0
20416,0
20417,1
20418,0
20419,1
20420,0
20421,1
20422,1
20423,0
20424,0
20425,0
20426,0
20427,1
20428,1
20429,0
20430,1
20431,1
20432,0
20433,1
20434,1
20435,0
20436,1
20437,0
20438,0
20439,0
20440,1
20441,0
20442,0
20443,0
20444,0
20445,0
20446,1
20447,1
20448,0
20449,1
20450,1
20451,0
20452,0
20453,0
20454,1
20455,1
20456,1
20457,1
20458,0
20459,0
20460,1
20461,0
20462,1
20463,1
20464,1
20465,1
20466,0
20467,0
20468,0
20469,1
20470,0
20471,0
20472,0
20473,0
20474,0
20475,1
20476,0
20477,0
20478,1
20479,1
20480,1
20481,0
20482,1
20483,1
20484,0
20485,0
20486,0
20487,1
20488,0
20489,0
20490,1
20491,0
20492,1
20493,0
20494,0
20495,1
20496,1
20497,0
20498,0
20499,1
20500,0
20501,1
20502,1
20503,0
20504,1
20505,1
20506,0
20507,0
20508,0
20509,0
20510,0
20511,0
20512,0
20513,0
20514,0
20515,1
20516,1
20517,1
20518,0
20519,1
20520,0
20521,0
20522,1
20523,1
20524,0
20525,0
20526,1
20527,0
20528,0
20529,1
20530,0
20531,1
20532,0
20533,0
20534,1
20535,1
20536,1
20537,0
20538,1
20539,0
20540,1
20541,1
20542,0
20543,0
20544,0
20545,0
20546,0
20547,0
20548,0
20549,0
20550,0
20551,1
20552,1
20553,0
20554,1
20555,1
20556,1
20557,0
20558,0
20559,1
20560,1
20561,1
20562,0
20563,0
20564,1
20565,0
20566,0
20567,0
20568,0
20569,1
20570,0
20571,0
20572,0
20573,1
20574,0
20575,0
20576,1
20577,1
20578,0
20579,1
20580,1
20581,1
20582,0
20583,0
20584,1
20585,1
20586,1
20587,1
20588,1
20589,0
20590,1
20591,0
20592,0
20593,0
20594,1
20595,0
20596,0
20597,1
20598,1
20599,0
20600,1
20601,0
20602,1
20603,0
20604,0
20605,1
20606,0
20607,0
20608,1
20609,0
20610,1
20611,0
20612,1
20613,0
20614,0
20615,1
20616,0
20617,0
20618,1
20619,0
20620,0
20621,1
20622,0
20623,0
20624,1
20625,1
20626,0
20627,1
20628,1
20629,0
20630,0
20631,0
20632,0
20633,0
20634,0
20635,0
20636,0
20637,1
20638,0
20639,1
20640,0
20641,0
20642,1
20643,0
20644,1
20645,0
20646,1
20647,0
20648,0
20649,1
20650,1
20651,0
20652,1
20653,0
20654,0
20655,1
20656,0
20657,1
20658,1
20659,0
20660,0
20661,0
20662,1
20663,0
20664,1
20665,0
20666,0
20667,0
20668,1
20669,1
20670,0
20671,0
20672,1
20673,1
20674,1
20675,0
20676,0
20677,1
20678,1
20679,0
20680,1
20681,0
20682,1
20683,0
20684,1
20685,0
20686,0
20687,1
20688,1
20689,0
20690,0
20691,1
20692,0
20693,0
20694,0
20695,1
20696,1
20697,0
20698,0
20699,1
20700,1
20701,0
20702,0
20703,0
20704,0
20705,0
20706,1
20707,0
20708,1
20709,1
20710,0
20711,1
20712,1
20713,0
20714,0
20715,1
20716,0
20717,1
20718,0
20719,0
20720,1
20721,0
20722,1
20723,1
20724,1
20725,0
20726,0
20727,1
20728,1
20729,1
20730,1
20731,0
20732,1
20733,0
20734,0
20735,0
20736,0
20737,1
20738,0
20739,1
20740,0
20741,0
20742,1
20743,0
20744,1
20745,1
20746,1
20747,0
20748,1
20749,0
20750,0
20751,1
20752,0
20753,1
20754,1
20755,1
20756,1
20757,0
20758,1
20759,1
20760,0
20761,0
20762,1
20763,0
20764,0
20765,0
20766,0
20767,0
20768,1
20769,1
20770,0
20771,0
20772,1
20773,0
20774,0
20775,0
20776,1
20777,1
20778,1
20779,0
20780,1
20781,1
20782,1
20783,0
20784,1
20785,1
20786,1
20787,1
20788,0
20789,0
20790,0
20791,0
20792,1
20793,1
20794,1
20795,0
20796,0
20797,0
20798,1
20799,0
20800,0
20801,1
20802,1
20803,0
20804,0
20805,0
20806,1
20807,1
20808,0
20809,1
20810,1
20811,0
20812,1
20813,0
20814,0
20815,1
20816,0
20817,1
20818,0
20819,0
20820,1
20821,0
20822,0
20823,1
20824,1
20825,1
20826,1
20827,1
20828,1
20829,1
20830,1
20831,0
20832,1
20833,0
20834,1
20835,1
20836,1
20837,1
20838,1
20839,1
20840,0
20841,0
20842,0
20843,1
20844,0
20845,0
20846,1
20847,1
20848,1
20849,1
20850,0
20851,1
20852,0
20853,0
20854,0
20855,1
20856,1
20857,1
20858,0
20859,0
20860,0
20861,1
20862,1
20863,1
20864,1
20865,0
20866,1
20867,0
20868,1
20869,0
20870,1
20871,1
20872,1
20873,0
20874,0
20875,0
20876,1
20877,0
20878,0
20879,1
20880,0
20881,1
20882,1
20883,0
20884,1
20885,1
20886,0
20887,0
20888,0
20889,1
