id_solicitante,inadimplente
20001,0
20002,0
20003,1
20004,1
20005,1
20006,1
20007,1
20008,0
20009,0
20010,0
20011,0
20012,0
20013,0
20014,1
20015,1
20016,0
20017,0
20018,1
20019,1
20020,0
20021,0
20022,0
20023,0
20024,1
20025,1
20026,0
20027,1
20028,1
20029,1
20030,1
20031,1
20032,1
20033,0
20034,0
20035,0
20036,0
20037,1
20038,0
20039,0
20040,0
20041,0
20042,1
20043,1
20044,0
20045,1
20046,0
20047,0
20048,0
20049,1
20050,1
20051,1
20052,1
20053,0
20054,1
20055,0
20056,1
20057,0
20058,0
20059,0
20060,1
20061,0
20062,0
20063,1
20064,0
20065,0
20066,1
20067,1
20068,0
20069,0
20070,0
20071,0
20072,0
20073,0
20074,0
20075,0
20076,0
20077,0
20078,1
20079,1
20080,1
20081,0
20082,1
20083,1
20084,1
20085,0
20086,1
20087,0
20088,0
20089,0
20090,1
20091,0
20092,1
20093,1
20094,0
20095,1
20096,0
20097,0
20098,1
20099,0
20100,0
20101,0
20102,0
20103,1
20104,1
20105,1
20106,1
20107,0
20108,0
20109,1
20110,0
20111,1
20112,1
20113,1
20114,1
20115,1
20116,1
20117,0
20118,0
20119,0
20120,1
20121,0
20122,1
20123,1
20124,1
20125,0
20126,1
20127,0
20128,1
20129,0
20130,0
20131,0
20132,1
20133,1
20134,1
20135,1
20136,1
20137,1
20138,0
20139,0
20140,0
20141,1
20142,0
20143,1
20144,1
20145,1
20146,1
20147,0
20148,0
20149,1
20150,1
20151,1
20152,0
20153,1
20154,1
20155,1
20156,0
20157,0
20158,0
20159,1
20160,1
20161,1
20162,1
20163,0
20164,1
20165,1
20166,1
20167,0
20168,0
20169,1
20170,0
20171,0
20172,0
20173,0
20174,0
20175,0
20176,1
20177,0
20178,1
20179,1
20180,1
20181,1
20182,1
20183,0
20184,0
20185,1
20186,1
20187,0
20188,1
20189,0
20190,1
20191,0
20192,1
20193,0
20194,1
20195,0
20196,1
20197,1
20198,0
20199,0
20200,1
20201,0
20202,0
20203,0
20204,0
20205,1
20206,0
20207,0
20208,1
20209,0
20210,1
20211,1
20212,0
20213,1
20214,1
20215,1
20216,0
20217,1
20218,0
20219,0
20220,1
20221,0
20222,1
20223,0
20224,1
20225,0
20226,0
20227,1
20228,0
20229,1
20230,1
20231,1
20232,1
20233,1
20234,1
20235,0
20236,1
20237,1
20238,0
20239,1
20240,0
20241,0
20242,0
20243,0
20244,1
20245,1
20246,1
20247,1
20248,0
20249,1
20250,0
20251,0
20252,1
20253,1
20254,1
20255,0
20256,0
20257,1
20258,0
20259,1
20260,1
20261,0
20262,1
20263,0
20264,1
20265,0
20266,0
20267,1
20268,1
20269,1
20270,0
20271,1
20272,1
20273,1
20274,1
20275,0
20276,0
20277,0
20278,1
20279,1
20280,0
20281,1
20282,0
20283,0
20284,1
20285,1
20286,1
20287,0
20288,1
20289,1
20290,0
20291,0
20292,1
20293,0
20294,0
20295,1
20296,0
20297,0
20298,1
20299,1
20300,1
20301,1
20302,1
20303,0
20304,1
20305,1
20306,1
20307,1
20308,0
20309,1
20310,0
20311,0
20312,0
20313,1
20314,1
20315,0
20316,1
20317,1
20318,1
20319,0
20320,0
20321,1
20322,0
20323,0
20324,0
20325,0
20326,0
20327,0
20328,1
20329,0
20330,1
20331,0
20332,1
20333,0
20334,0
20335,0
20336,1
20337,1
20338,0
20339,1
20340,1
20341,1
20342,0
20343,1
20344,1
20345,1
20346,0
20347,1
20348,0
20349,0
20350,0
20351,1
20352,0
20353,1
20354,0
20355,1
20356,0
20357,1
20358,1
20359,1
20360,1
20361,1
20362,0
20363,0
20364,0
20365,1
20366,1
20367,0
20368,0
20369,0
20370,1
20371,1
20372,1
20373,1
20374,1
20375,0
20376,1
20377,1
20378,0
20379,0
20380,1
20381,1
20382,0
20383,1
20384,1
20385,1
20386,1
20387,1
20388,0
20389,0
20390,0
20391,1
20392,0
20393,1
20394,1
20395,1
20396,0
20397,0
20398,1
20399,1
20400,1
20401,1
20402,0
20403,0
20404,0
20405,0
20406,0
20407,1
20408,1
20409,1
20410,0
20411,1
20412,1
20413,0
20414,1
20415,1
20416,1
20417,1
20418,0
20419,0
20420,0
20421,1
20422,1
20423,0
20424,1
20425,0
20426,1
20427,1
20428,0
